corpus: preloaded/doaj_en
subcorpus: -
size: 20967
query: Query:[word="we"] []? [word="aimed|wanted"] [word="to"] [tag="VV"]
word,Frequency,Freq. per million
assemble, 4, 0.00119
further, 4, 0.00119
initiate, 4, 0.00119
strengthen, 4, 0.00119
train, 4, 0.00119
disrupt, 4, 0.00119
inspect, 4, 0.00119
promote, 4, 0.00119
base, 4, 0.00119
deepen, 4, 0.00119
indicate, 4, 0.00119
contrast, 4, 0.00119
generalize, 4, 0.00119
disclose, 4, 0.00119
speak, 3, 0.00090
dissociate, 3, 0.00090
attract, 3, 0.00090
qualify, 3, 0.00090
purify, 3, 0.00090
realize, 3, 0.00090
elaborate, 3, 0.00090
decompose, 3, 0.00090
interfere, 3, 0.00090
pinpoint, 3, 0.00090
secure, 3, 0.00090
fit, 3, 0.00090
talk, 3, 0.00090
foster, 3, 0.00090
receive, 3, 0.00090
connect, 3, 0.00090
silence, 3, 0.00090
attempt, 3, 0.00090
count, 3, 0.00090
categorize, 3, 0.00090
track, 3, 0.00090
say, 3, 0.00090
compile, 3, 0.00090
teach, 3, 0.00090
partition, 3, 0.00090
recreate, 3, 0.00090
replace, 3, 0.00090
come, 3, 0.00090
manipulate, 3, 0.00090
substantiate, 3, 0.00090
underline, 3, 0.00090
reverse, 3, 0.00090
revisit, 3, 0.00090
stratify, 3, 0.00090
run, 3, 0.00090
score, 3, 0.00090
seek, 3, 0.00090
form, 3, 0.00090
access, 3, 0.00090
gauge, 3, 0.00090
complete, 3, 0.00090
let, 3, 0.00090
delete, 3, 0.00090
circumvent, 3, 0.00090
involve, 3, 0.00090
prioritize, 3, 0.00090
call, 3, 0.00090
emulate, 3, 0.00090
extrapolate, 3, 0.00090
list, 3, 0.00090
interrogate, 3, 0.00090
appraise, 3, 0.00090
devise, 3, 0.00090
encode, 3, 0.00090
depict, 3, 0.00090
reevaluate, 3, 0.00090
mitigate, 2, 0.00060
implant, 2, 0.00060
deplete, 2, 0.00060
attribute, 2, 0.00060
specify, 2, 0.00060
simplify, 2, 0.00060
allocate, 2, 0.00060
trace, 2, 0.00060
consolidate, 2, 0.00060
best, 2, 0.00060
generalise, 2, 0.00060
tap, 2, 0.00060
parse, 2, 0.00060
overexpress, 2, 0.00060
normalize, 2, 0.00060
fine-map, 2, 0.00060
protect, 2, 0.00060
save, 2, 0.00060
acknowledge, 2, 0.00060
pick, 2, 0.00060
fix, 2, 0.00060
co-immunoprecipitate, 2, 0.00060
stop, 2, 0.00060
portray, 2, 0.00060
respond, 2, 0.00060
restore, 2, 0.00060
mention, 2, 0.00060
organize, 2, 0.00060
rely, 2, 0.00060
re-evaluate, 2, 0.00060
tease, 2, 0.00060
work, 2, 0.00060
ignore, 2, 0.00060
argue, 2, 0.00060
enrol, 2, 0.00060
align, 2, 0.00060
recognize, 2, 0.00060
accrue, 2, 0.00060
alter, 2, 0.00060
deduce, 2, 0.00060
re-examine, 2, 0.00060
re-assess, 2, 0.00060
crystallize, 2, 0.00060
affect, 2, 0.00060
sketch, 2, 0.00060
eat, 2, 0.00060
register, 2, 0.00060
tighten, 2, 0.00060
travel, 2, 0.00060
turn, 2, 0.00060
treat, 2, 0.00060
push, 2, 0.00060
write, 2, 0.00060
interpret, 2, 0.00060
reassess, 2, 0.00060
strike, 2, 0.00060
suppress, 2, 0.00060
avert, 2, 0.00060
overlay, 2, 0.00060
calibrate, 2, 0.00060
enable, 2, 0.00060
deal, 2, 0.00060
randomise, 2, 0.00060
revise, 2, 0.00060
embed, 2, 0.00060
pilot, 2, 0.00060
evoke, 2, 0.00060
provoke, 2, 0.00060
erect, 2, 0.00060
